date,open,high,low,close,volume,oi
2023-05-05,496.2,500.2,487.9,496.3,53396,22392
2023-05-08,502.5,515.3,500.7,515.3,43140,24464
2023-05-09,519.0,524.5,516.4,516.8,35593,24754
2023-05-10,516.8,524.8,510.2,520.3,50666,24680
2023-05-11,523.2,524.8,509.1,515.2,59783,26209
2023-05-12,509.0,511.2,497.9,498.2,64859,30153
2023-05-15,504.4,508.7,493.7,497.9,66786,33041
2023-05-16,500.1,513.4,499.9,505.8,66901,33133
2023-05-17,507.9,513.8,500.3,501.6,88552,36747
2023-05-18,506.8,520.5,506.0,518.0,168648,38442
2023-05-19,514.9,525.8,512.4,523.9,154783,40406
2023-05-22,529.0,529.6,505.7,507.0,181386,40109
2023-05-23,511.5,520.0,509.8,515.5,146257,37001
2023-05-24,522.7,529.4,518.3,527.0,122708,36007
2023-05-25,528.4,534.7,523.2,531.5,144900,33033
2023-05-26,526.9,527.2,513.3,521.9,153732,30376
2023-05-29,525.5,535.6,524.5,532.1,125189,27747
2023-05-30,526.0,538.6,522.7,529.7,90852,26886
2023-05-31,520.6,521.4,502.7,503.9,148615,29434
2023-06-01,491.5,506.9,489.9,505.9,143677,29362
2023-06-02,502.8,518.8,497.8,518.3,141943,28539
2023-06-05,523.2,530.0,517.9,527.8,131352,27140
2023-06-06,532.0,532.4,523.2,525.0,131848,26515
2023-06-07,521.8,528.3,518.2,523.7,124563,27987
2023-06-08,531.0,537.2,527.8,535.6,112035,28733
2023-06-09,537.6,538.1,514.7,525.5,174376,26904
2023-06-12,529.8,533.4,513.8,514.5,130611,28016
2023-06-13,506.7,510.8,501.5,507.9,119427,26860
2023-06-14,515.0,524.7,514.0,524.4,83262,23133
2023-06-15,526.5,527.9,512.5,516.0,87466,19560
2023-06-16,518.7,531.1,517.6,529.5,25652,13901
2023-06-19,533.5,534.1,525.0,529.5,2325,12901
2023-06-20,532.8,538.1,530.6,533.9,1993,11192
2023-06-21,533.3,554.4,526.6,550.2,2611,8829
2023-06-26,543.7,544.1,533.5,542.0,611,8417
2023-06-27,540.5,546.5,537.8,542.3,236,8250
2023-06-28,539.2,544.3,530.0,533.9,3534,4722
2023-06-29,533.0,553.7,530.0,532.9,72,4659
2023-06-30,532.9,586.8,532.9,538.5,1331,3340
