,ret_1d,ret_5d,ma_gap,vol_20,dxy_chg_5d_dir,us10y_chg_5d_dir,cpi_surprise_dir,nfp_surprise_dir,fed_exp_level,fed_exp_chg,demand_chg_5d,gpr_level_z,gpr_chg_5d,ev_supply_5d,ev_geo_5d,ev_demand_5d,ev_cpi_5d,ev_jobs_5d,ev_fed_5d,ev_view_5d,inst_bias
2023-12-29,-0.0016734071678001783,-0.030784346526375295,-0.0062528711961435945,0.021074113026905893,0.7509420299572245,0.010000000000000231,0.03206391885879123,-1.085350988097282,0.5884888339154185,-0.13893971053909493,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-02,-0.01788402238074127,-0.044192267842681154,-0.02158182057029645,0.020727901140115343,-0.17310236220473563,-0.050000000000000266,1.176719509895594,-4.504903534392178,0.4200722521925646,-0.5799277478074354,-2.114914020366432,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-03,0.03243225264603389,-0.038717994493155494,0.011083724663099481,0.021943118235834752,-0.6798864472715715,-0.020000000000000018,1.1597393406348844,-4.004034962287935,0.4654650534156278,-0.4621567145339205,-2.114914020366432,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-04,-0.0070398523884041,-0.026248943812198,0.004133831471337501,0.021885894706446977,-0.9689135658872194,-0.20000000000000018,1.1434764058585878,-3.640114919376563,0.34306431792701064,-0.48798195692697965,-2.114914020366432,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-05,0.02219269163089166,0.028027662339979997,0.023231743990211662,0.02010440829315188,-0.8256031564795041,-0.20999999999999996,1.1278815364793628,-3.3603102219126533,0.5300886210126067,-0.3309716684482984,-2.114914020366432,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-08,-0.04205904169426766,-0.012357972186487487,-0.01984795979559628,0.022500182409023337,-0.7007214948725249,-0.1299999999999999,1.1129101579258045,-3.1365255046864515,0.5979116808380993,0.009422846922680805,-2.114914020366432,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-09,0.02055872702103656,0.026084777215290345,6.775669516123628e-06,0.022158879751618694,-0.3337005716508745,-0.0699999999999994,1.0985217524819422,-2.9522609680428897,0.6384468573949822,0.21837460520241758,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-10,-0.012116296125753934,-0.018463771556497477,-0.012144561455639469,0.02234231387029248,-0.054805598859775095,-0.1299999999999999,1.0846793965758792,-2.7971059107991527,0.15742179184375193,-0.3080432615718759,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-11,0.009066245237753456,-0.002357673930339921,-0.0055035942937831095,0.02045317062379315,-0.22638203389375722,0.010000000000000231,1.0713493609758078,-2.6641242149948705,0.19284081745763978,-0.15022350046937086,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2024-01-12,0.009122385307240855,-0.015427980253990725,0.0013602290722998234,0.020380560082521718,-0.12229034743860279,0.08999999999999986,1.0585007640299362,-2.5484927721240576,0.5188418470917159,-0.011246773920890796,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
